loan_id,facility_id
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,4
10,1
11,1
12,1
13,1
14,1
15,1
16,3
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,4
34,1
35,1
36,1
37,3
38,3
39,3
40,4
41,3
42,3
43,3
44,3
45,3
46,4
47,3
48,4
49,3
50,4
51,2
52,2
53,3
54,4
55,1
56,3
57,3
58,1
59,4
60,2
61,3
62,2
63,4
64,4
65,3
66,2
67,3
68,4
69,2
70,3
71,4
72,2
73,3
74,2
75,3
76,4
77,4
78,4
79,2
80,3
81,2
82,4
83,4
84,4
85,3
86,2
87,2
88,3
89,2
90,2
91,3
92,4
93,2
94,2
95,3
96,4
97,3
98,2
99,4
100,3
101,2
102,3
103,4
104,4
105,3
106,4
107,3
108,2
109,3
110,4
111,2
112,3
113,3
114,4
115,3
116,2
117,4
118,3
119,2
120,2
121,4
122,3
123,4
124,2
125,2
126,3
127,2
128,4
129,3
130,4
131,2
132,3
133,3
134,4
135,4
136,4
137,2
138,3
139,2
140,6
141,5
142,6
143,6
144,5
145,5
146,6
147,5
148,5
149,6
150,6
151,3
152,6
153,6
154,5
155,4
156,5
157,6
158,5
159,5
160,6
161,6
162,6
163,5
164,6
165,5
166,5
167,6
168,6
169,6
170,5
171,5
172,6
173,5
174,5
175,6
176,6
177,5
178,6
179,6
180,5
181,5
182,6
183,5
184,6
185,6
186,5
187,5
188,6
189,5
190,6
191,6
192,5
193,6
194,6
195,6
196,5
197,5
198,6
199,3
200,8
201,8
202,8
203,8
204,8
205,8
206,8
207,8
208,7
209,8
210,8
211,8
212,8
213,8
214,7
215,6
216,8
217,8
218,7
219,8
220,7
221,8
222,8
223,7
224,8
225,7
226,8
227,7
228,8
229,7
230,8
231,7
232,8
233,7
234,8
235,7
236,8
237,7
238,7
239,8
240,2
241,7
242,8
243,7
244,7
245,8
246,7
247,8
248,7
249,8
250,7
251,8
252,7
253,7
254,8
255,8
256,7
257,7
258,8
259,7
260,8
261,7
262,8
263,8
264,7
265,7
266,7
267,8
268,7
269,7
270,7
271,8
272,7
273,10
274,9
275,9
276,10
277,9
278,9
279,10
280,10
281,12
282,9
283,10
284,11
285,12
286,7
287,9
288,10
289,11
290,10
291,12
292,11
293,10
294,9
295,12
296,10
297,11
298,12
299,9
300,10
301,11
302,12
303,9
304,10
305,12
306,11
307,9
308,12
309,10
310,9
311,11
312,10
313,9
314,10
315,11
316,12
317,10
318,9
319,11
320,12
321,10
322,10
323,9
324,9
325,11
326,12
327,11
328,10
329,9
330,10
331,12
332,10
333,11
334,9
335,9
336,12
337,10
338,11
339,5
340,9
341,12
342,11
343,12
344,9
345,12
346,10
347,11
348,12
349,10
350,11
351,9
352,12
353,10
354,9
355,10
356,9
357,10
358,11
359,12
360,10
361,9
362,10
363,11
364,9
365,10
366,12
367,10
368,10
369,11
370,9
371,12
372,9
373,10
374,11
375,9
376,12
377,11
378,12
379,9
380,11
381,10
382,9
383,11
384,12
385,10
386,11
387,10
388,9
389,12
390,11
391,10
392,9
393,12
394,11
395,10
396,11
397,9
398,9
399,12
400,10
401,11
402,10
403,9
404,12
405,11
406,10
407,12
408,9
409,12
410,12
411,11
412,10
413,11
414,9
415,12
416,11
417,12
418,13
419,13
420,13
421,12
422,13
423,13
424,13
425,
